,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
2817,4.376134025032607,51.248447820724365,2050,2,8,Antwerpen,245000,3602,1,APARTMENT,5,1,68,0,0,0,1,14,0,0,2,0,0,0
2822,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,245000,2076,1,APARTMENT,6,3,118,0,0,0,1,8,0,0,3,0,1,1
2823,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,214500,2523,1,APARTMENT,6,2,85,0,0,0,1,3,0,0,2,0,0,1
2824,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,215000,2150,1,APARTMENT,6,3,100,0,0,0,1,6,0,0,3,0,1,1
2826,4.361351528564767,50.41515789568444,6030,1,5,Charleroi,335000,697,0,VILLA,3,4,230,0,0,1,1,50,1,250,4,0,0,0
2827,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,485000,5914,1,APARTMENT,5,2,82,1,1,0,1,12,0,0,2,0,0,1
2828,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,570000,6867,1,PENTHOUSE,6,2,83,0,0,0,1,30,0,0,2,0,0,1
2829,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,795000,2922,0,HOUSE,0,4,272,0,0,0,1,15,0,0,3,0,0,0
2830,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,307000,8078,1,FLAT_STUDIO,5,0,38,1,0,0,1,3,0,0,2,0,1,0
2831,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,254000,3256,1,APARTMENT,5,2,78,0,0,0,1,10,0,0,2,0,1,1
2832,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,1040000,5942,1,PENTHOUSE,5,3,175,1,0,0,1,20,0,0,2,0,0,1
2833,4.047007532896995,50.941780843882924,9300,2,9,Aalst,310000,842,0,HOUSE,6,3,128,1,0,0,1,26,1,240,2,0,0,0
2834,4.485373214118113,50.42801704334071,6060,1,5,Charleroi,195000,317,0,HOUSE,6,4,207,1,0,0,1,35,1,408,3,0,0,0
2835,5.623582074795952,50.614135660989234,4032,1,7,Liège,185000,925,0,HOUSE,3,4,150,0,0,0,1,10,1,50,2,0,0,0
2836,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,360000,3495,1,GROUND_FLOOR,5,2,103,1,0,0,1,36,0,0,2,0,0,1
2839,4.063243126487138,50.91524229667714,9320,2,9,Aalst,219000,280,0,HOUSE,4,2,121,0,0,0,1,18,1,661,3,0,0,0
2843,4.361370487792108,50.78987082854528,1180,0,0,Uccle,786000,1790,0,HOUSE,0,4,229,1,0,0,1,35,1,210,3,0,0,0
2844,3.2071828570336303,51.232646001171425,8000,2,10,Brugge,740000,4378,1,APARTMENT,0,3,169,0,0,0,1,21,0,0,3,0,0,1
2845,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,330000,3084,1,APARTMENT,6,2,107,1,0,0,1,19,0,0,3,0,0,1
2846,4.029669760417315,50.9673651621167,9308,2,9,Aalst,258000,1258,0,HOUSE,6,3,155,0,0,0,1,12,1,50,2,0,0,0
2847,5.380064364430568,49.966023829437134,6800,1,4,Libramont-Chevigny,195500,3491,1,APARTMENT,0,1,56,0,0,0,1,7,0,0,2,0,0,0
2849,2.920364240174513,51.204054302137884,8400,2,10,Oostende,429000,1682,0,HOUSE,6,4,175,0,0,0,1,25,1,80,2,0,0,0
2850,3.8691914611452813,50.75631465402039,9500,2,9,Geraardsbergen,225000,3308,1,SERVICE_FLAT,0,1,68,1,0,0,1,7,0,0,2,0,0,1
2852,5.654562602832895,50.69624198676869,4683,1,7,Oupeye,299000,1465,0,BUNGALOW,6,3,104,0,0,0,1,20,1,100,4,0,0,0
2853,4.873254627779406,50.49563850900468,5020,1,1,Namur,165000,2260,0,HOUSE,3,2,72,0,0,0,1,1,1,1,2,0,0,0
2854,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,245000,3602,1,APARTMENT,5,1,68,1,0,0,1,14,0,0,4,0,0,1
2855,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,489000,4445,1,APARTMENT,5,2,110,1,0,0,1,11,0,0,2,0,1,1
2856,3.3677549097404054,50.88478823206576,8792,2,10,Waregem,262347,2761,1,APARTMENT,6,2,95,0,0,0,1,17,0,0,2,0,0,0
2857,2.920364240174513,51.204054302137884,8400,2,10,Oostende,315000,3841,1,APARTMENT,0,2,82,0,0,0,1,1,0,0,2,0,0,1
2859,5.638561209383813,50.639959100598105,4020,1,7,Liège,665000,657,0,HOUSE,6,6,282,0,0,0,1,121,1,729,4,1,0,0
2860,5.577531125648646,50.59185028437595,4000,1,7,Liège,295000,2565,1,APARTMENT,5,3,115,0,0,0,1,10,0,0,2,0,0,1
2861,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,635000,3175,1,DUPLEX,0,4,200,1,0,0,1,65,0,0,2,0,0,0
2862,4.43508407116947,50.444720779004314,6040,1,5,Charleroi,185000,360,0,HOUSE,6,3,111,0,0,0,1,40,1,402,3,0,0,0
2863,3.1177834512642963,50.94625796358603,8800,2,10,Roeselare,248000,939,0,HOUSE,5,2,114,1,0,0,1,25,1,150,3,0,0,0
2864,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,599000,4991,1,APARTMENT,6,2,120,1,0,0,1,45,0,0,2,0,0,1
2865,5.3539234872135655,50.93340823156662,3500,2,2,Hasselt,315000,3028,1,APARTMENT,6,2,104,0,1,0,1,18,0,0,3,0,0,0
2868,3.720262345300755,51.053260703972086,9000,2,9,Gent,260000,3421,1,GROUND_FLOOR,5,1,76,1,0,0,1,12,0,0,2,0,0,1
2869,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,379900,1332,0,HOUSE,3,6,285,0,0,0,1,13,0,0,2,0,0,0
2870,4.408236007087518,50.87001921742844,1140,0,0,Evere,395000,3038,1,DUPLEX,5,3,105,1,0,0,1,10,1,25,2,0,0,0
2871,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,1195000,10391,1,APARTMENT,2,3,115,1,0,0,1,4,0,0,2,0,1,1
2872,4.361370487792108,50.78987082854528,1180,0,0,Uccle,774500,3442,0,HOUSE,5,4,225,1,0,0,1,17,0,0,2,0,1,0
2873,4.375234148039785,50.87298266192055,1120,0,0,Bruxelles,239000,2987,1,APARTMENT,6,2,80,0,0,0,1,2,0,0,2,0,0,0
2875,4.349449465701912,51.17680075275425,2660,2,8,Antwerpen,199000,2842,1,APARTMENT,6,2,70,0,0,0,1,7,0,0,2,0,0,1
2877,5.624363334016105,50.67921179186858,4040,1,7,Herstal,330000,1473,0,HOUSE,6,3,166,0,0,0,1,23,1,58,3,0,0,0
2878,3.8707194000984635,51.00236028375542,9230,2,9,Wetteren,415000,4611,1,APARTMENT,0,1,90,0,0,0,1,40,0,0,2,0,0,0
2881,4.2578958901376485,50.84856042288083,1700,2,6,Dilbeek,700000,1060,0,VILLA,5,4,310,1,0,0,1,40,1,350,4,0,0,0
2882,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,775000,6404,1,APARTMENT,6,2,121,0,0,0,1,30,0,0,2,0,0,0
2883,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,395000,4876,1,APARTMENT,5,2,81,1,0,0,1,13,0,0,2,0,0,1
2884,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,680000,7816,1,APARTMENT,5,2,87,1,1,0,1,8,0,0,2,0,1,1
2886,4.403520554166193,50.70976366812478,1410,1,3,Waterloo,420000,1721,0,APARTMENT_BLOCK,0,4,244,0,0,0,1,90,0,0,2,0,0,0
2887,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,750000,3947,0,HOUSE,5,4,190,1,0,0,1,30,0,0,2,0,0,0
2888,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,345000,3450,1,APARTMENT,6,1,100,0,0,0,1,16,0,0,2,0,0,0
2891,5.528168774947655,50.65833644138832,4430,1,7,Ans,246500,2769,1,APARTMENT,5,2,89,0,0,0,1,1,0,0,3,0,0,0
2892,5.6444051822288746,50.58522465817122,4050,1,7,Chaudfontaine,264500,1875,1,DUPLEX,6,4,141,0,0,0,1,12,0,0,3,0,0,0
2894,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,439000,2926,1,APARTMENT,6,3,150,0,0,0,1,9,0,0,2,0,0,1
2895,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,219000,3910,1,APARTMENT,6,1,56,0,0,0,1,12,0,0,2,0,0,1
2896,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,360000,3495,1,GROUND_FLOOR,5,2,103,1,0,0,1,21,0,0,2,0,0,1
2897,5.638561209383813,50.639959100598105,4020,1,7,Liège,140000,2545,1,APARTMENT,6,2,55,0,0,0,1,35,0,0,2,0,0,0
2899,4.321383766329789,50.881720021988286,1090,0,0,Jette,299000,4271,1,APARTMENT,3,2,70,0,0,0,1,5,0,0,2,0,0,0
2902,4.403520554166193,50.70976366812478,1410,1,3,Waterloo,495000,1500,0,HOUSE,4,2,140,0,0,0,1,20,1,190,4,0,0,0
2903,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,645000,4161,1,APARTMENT,5,4,155,1,0,1,1,12,0,0,2,0,0,1
2905,3.8691914611452813,50.75631465402039,9500,2,9,Geraardsbergen,480000,2068,0,MIXED_USE_BUILDING,0,3,232,0,0,0,1,30,0,0,3,0,0,0
2907,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,349000,2457,0,HOUSE,6,4,142,0,0,0,1,25,0,0,2,0,0,0
2908,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,775000,2320,0,APARTMENT_BLOCK,6,6,294,0,0,0,1,2,1,40,2,0,0,0
2909,3.790568577398006,50.86893462600802,9620,2,9,Zottegem,299000,1371,0,HOUSE,5,2,123,1,0,0,1,13,1,95,2,0,0,0
2910,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,525000,5526,1,APARTMENT,5,2,95,0,0,0,1,120,0,0,2,0,0,1
2911,4.5584085198370445,50.68379979985528,1342,1,3,Ottignies-Louvain-la-Neuve,480000,252,0,HOUSE,6,4,220,0,0,1,1,15,1,1680,3,0,0,0
2912,5.623582074795952,50.614135660989234,4032,1,7,Liège,399000,3069,1,PENTHOUSE,0,3,130,0,0,0,1,31,0,0,3,0,0,0
2913,4.361370487792108,50.78987082854528,1180,0,0,Uccle,1200000,3592,0,VILLA,4,4,333,0,0,1,1,60,1,1,4,0,0,0
2914,4.342915597541709,50.90929474624263,1853,2,6,Grimbergen,279000,3000,1,APARTMENT,0,2,93,0,0,0,1,18,0,0,2,0,0,1
2916,2.920364240174513,51.204054302137884,8400,2,10,Oostende,435000,2042,1,APARTMENT,6,3,213,0,0,0,1,42,0,0,2,0,0,1
2917,4.408236007087518,50.87001921742844,1140,0,0,Evere,348000,3163,1,APARTMENT,6,3,110,0,0,0,1,9,0,0,2,0,0,0
2921,4.471344481505892,50.845386982127444,1950,2,6,Kraainem,430650,5066,1,SERVICE_FLAT,5,1,85,1,0,0,1,26,0,0,2,0,1,1
2922,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,850000,2500,0,HOUSE,6,5,252,1,0,0,1,18,1,88,4,0,0,0
2923,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,680000,792,1,GROUND_FLOOR,4,3,208,1,0,0,1,40,1,650,3,0,0,1
2925,5.607087043742467,50.59057394130485,4053,1,7,Chaudfontaine,970000,710,0,VILLA,5,4,305,0,0,0,1,20,1,1060,4,1,0,0
2926,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,287000,2958,1,APARTMENT,6,2,97,0,0,0,1,4,0,0,2,0,0,1
2927,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,1050000,13291,1,APARTMENT,2,3,79,1,1,0,1,4,0,0,2,0,0,1
2929,5.594986028388135,50.69093418992845,4041,1,7,Herstal,259000,272,0,HOUSE,4,4,500,0,0,0,1,150,1,450,3,0,0,0
2931,4.376134025032607,51.248447820724365,2020,2,8,Antwerpen,195000,2785,1,APARTMENT,3,2,70,0,0,0,1,2,0,0,2,0,0,0
2933,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,239000,2914,1,APARTMENT,0,1,82,0,0,0,1,9,0,0,3,0,0,1
2934,5.535060559845203,50.629837917805894,4420,1,7,Saint-Nicolas,419000,819,0,HOUSE,6,4,211,0,0,0,1,40,1,300,4,0,0,0
2935,5.865875472582388,50.59152456135572,4800,1,7,Verviers,197000,120,0,HOUSE,6,5,260,0,0,0,1,38,1,1379,2,0,0,0
2936,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,495000,7071,1,APARTMENT,6,1,70,1,0,0,1,13,0,0,2,0,1,1
2939,4.691098755030863,50.85734711667344,3000,2,6,Leuven,797691,3140,0,HOUSE,5,4,253,0,0,0,1,12,1,1,3,0,0,1
2940,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,269900,317,0,HOUSE,6,4,150,0,0,0,1,25,1,700,3,0,0,0
2941,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,269000,704,0,HOUSE,0,4,132,0,0,0,1,80,1,250,3,0,0,0
2943,4.428578360497885,50.93012891009888,1800,2,6,Vilvoorde,378244,2740,1,DUPLEX,6,3,138,0,0,0,1,22,0,0,2,0,0,0
2944,2.8368380598056255,51.17815500112932,8430,2,10,Middelkerke,85000,4047,1,FLAT_STUDIO,6,0,21,0,1,0,1,6,0,0,2,0,0,1
2945,5.638561209383813,50.639959100598105,4020,1,7,Liège,215000,2500,1,APARTMENT,5,2,86,0,0,0,1,5,0,0,2,0,0,1
2947,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,299000,2693,1,APARTMENT,6,2,111,0,0,0,1,17,0,0,2,0,0,1
2948,3.720262345300755,51.053260703972086,9000,2,9,Gent,398000,3685,1,APARTMENT,6,3,108,0,0,0,1,12,0,0,2,0,0,1
2949,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,239000,2747,1,APARTMENT,6,2,87,0,0,0,1,10,0,0,2,0,0,1
2950,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,149000,3634,1,APARTMENT,6,1,41,0,0,0,1,3,0,0,3,0,0,0
2952,3.772807392554319,51.103064477304066,9041,2,9,Gent,411000,3669,1,APARTMENT,5,3,112,1,0,0,1,35,0,0,2,0,0,1
2953,4.342915597541709,50.90929474624263,1853,2,6,Grimbergen,195000,3545,1,APARTMENT,6,1,55,0,0,0,1,12,0,0,2,0,0,1
2954,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,215000,2263,0,HOUSE,5,3,95,1,0,0,1,5,0,0,2,0,0,0
2955,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,399000,2912,0,HOUSE,5,4,137,1,0,0,1,16,0,0,2,0,0,0
2957,5.181064535082792,50.49945695953772,4500,1,7,Huy,255000,2965,1,APARTMENT,0,2,86,0,0,0,1,7,0,0,2,0,0,0
2960,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,395000,5197,1,APARTMENT,5,1,76,1,0,0,1,3,0,0,3,0,1,0
2961,4.375234148039785,50.87298266192055,1020,0,0,Bruxelles,295000,2500,1,APARTMENT,6,3,118,0,0,0,1,10,0,0,2,0,1,1
2962,3.611088262898648,50.848018865686875,9700,2,9,Oudenaarde,275000,1636,0,HOUSE,6,5,168,0,0,0,1,50,0,0,3,0,0,0
2963,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,259000,2354,1,APARTMENT,6,2,110,0,0,0,1,12,0,0,2,0,0,1
2964,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,309900,3368,1,APARTMENT,0,2,92,0,0,0,1,20,0,0,2,0,0,1
2967,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,649000,3345,1,PENTHOUSE,6,6,194,0,0,0,1,79,0,0,3,0,0,1
2968,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,219000,713,0,HOUSE,6,4,146,0,0,0,1,13,1,161,2,0,0,0
2970,4.361370487792108,50.78987082854528,1180,0,0,Uccle,639000,3826,1,APARTMENT,6,3,167,1,0,0,1,38,0,0,2,0,1,1
2971,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,995000,6419,1,APARTMENT,2,2,155,1,0,0,1,22,0,0,2,0,1,1
2975,4.361370487792108,50.78987082854528,1180,0,0,Uccle,799000,2959,1,APARTMENT,5,3,180,1,0,0,1,28,1,90,2,0,1,1
2976,4.293920189965437,50.86465279974552,1082,0,0,Berchem-Sainte-Agathe,280000,3943,1,APARTMENT,5,1,71,1,0,0,1,7,0,0,3,0,0,1
2978,5.508048762890354,50.58496196593964,4100,1,7,Seraing,175000,833,0,HOUSE,2,3,117,0,0,0,1,20,1,93,2,0,0,0
2981,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,399000,2254,0,HOUSE,5,3,121,0,0,0,1,15,1,56,2,0,0,0
2982,2.920364240174513,51.204054302137884,8400,2,10,Oostende,159000,3975,1,APARTMENT,0,0,40,0,1,0,1,3,0,0,2,0,0,1
2983,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,299000,3051,1,GROUND_FLOOR,6,1,63,1,0,0,1,15,1,35,2,0,1,1
2984,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,215000,2047,1,APARTMENT,6,2,104,0,0,1,1,19,1,1,2,0,0,1
2985,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,199000,2397,1,APARTMENT,6,2,83,0,0,0,1,12,0,0,2,0,0,1
2986,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,355000,3622,1,APARTMENT,6,2,98,0,0,0,1,2,0,0,2,0,0,1
2988,4.561792200549251,51.13160180554329,2500,2,8,Lier,725000,3625,0,VILLA,0,3,200,1,0,0,1,20,0,0,2,0,0,0
2990,5.638561209383813,50.639959100598105,4020,1,7,Liège,349000,561,0,APARTMENT_BLOCK,3,6,294,0,0,0,1,7,1,328,2,0,0,0
2991,5.624363334016105,50.67921179186858,4040,1,7,Herstal,269000,2069,0,HOUSE,5,3,130,0,0,0,1,32,0,0,4,0,0,0
2992,4.349449465701912,51.17680075275425,2660,2,8,Antwerpen,269000,2988,1,PENTHOUSE,0,2,90,0,0,0,1,70,0,0,2,0,0,1
2993,4.30932217692078,50.90957954247929,1780,2,6,Wemmel,675000,860,0,VILLA,6,5,284,1,0,0,1,50,1,500,4,0,1,0
2995,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,495000,3485,1,APARTMENT,4,3,142,0,0,0,1,26,0,0,2,0,0,1
2998,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,495000,4541,1,APARTMENT,6,2,109,0,0,0,1,1,0,0,2,0,0,1
2999,4.324177215886155,50.814084975691195,1190,0,0,Forest,250000,3246,1,APARTMENT,6,2,77,0,0,0,1,4,0,0,2,0,0,1
3000,4.361370487792108,50.78987082854528,1180,0,0,Uccle,550000,2029,0,HOUSE,4,4,211,0,0,0,1,12,1,60,2,0,0,0
3003,5.577531125648646,50.59185028437595,4031,1,7,Liège,175000,688,0,HOUSE,3,4,140,0,0,0,1,40,1,114,3,0,0,0
3005,5.7415202000238965,49.68523319258533,6700,1,4,Arlon,415000,1886,0,HOUSE,3,4,220,1,0,1,1,20,0,0,3,0,0,0
3006,4.43508407116947,50.444720779004314,6040,1,5,Charleroi,140000,1555,0,HOUSE,6,2,90,0,0,0,1,48,0,0,3,0,0,0
3007,4.428578360497885,50.93012891009888,1800,2,6,Vilvoorde,365000,2607,0,HOUSE,6,3,140,0,0,0,1,45,0,0,2,0,0,0
3008,4.375234148039785,50.87298266192055,1120,0,0,Bruxelles,259000,2943,1,APARTMENT,6,2,88,0,0,0,1,4,0,0,2,0,0,1
3009,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,359000,4602,1,APARTMENT,5,2,78,1,0,0,1,7,0,0,2,0,0,1
3010,3.720262345300755,51.053260703972086,9000,2,9,Gent,529000,4198,1,APARTMENT,5,3,126,1,0,0,1,26,0,0,2,0,0,1
3011,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,745000,5601,1,PENTHOUSE,6,2,133,1,0,0,1,80,0,0,2,0,1,1
3012,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,445000,6846,1,APARTMENT,5,1,65,1,0,0,1,18,0,0,2,0,1,1
3013,4.584311991418305,50.67146356031946,1340,1,3,Ottignies-Louvain-la-Neuve,370000,3189,1,APARTMENT,0,2,116,1,0,0,1,9,0,0,2,0,0,1
3014,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,432000,4037,1,APARTMENT,5,2,107,1,0,0,1,10,0,0,4,0,0,1
3017,3.276541129725285,50.81548648715903,8500,2,10,Kortrijk,175000,1988,0,HOUSE,2,2,76,0,0,0,1,12,1,12,2,0,0,0
3019,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,350000,3017,1,APARTMENT,6,2,116,1,0,0,1,4,0,0,2,0,0,1
3020,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,288000,1515,0,HOUSE,4,4,190,0,0,0,1,14,0,0,2,0,0,0
3021,2.920364240174513,51.204054302137884,8400,2,10,Oostende,495000,3960,1,DUPLEX,5,3,125,0,0,0,1,1,0,0,2,0,0,1
3022,4.361370487792108,50.78987082854528,1180,0,0,Uccle,670000,1558,0,HOUSE,6,4,160,0,0,0,1,20,1,270,3,0,0,0
3024,3.937779364233144,50.787052491799976,9506,2,9,Geraardsbergen,349000,154,0,BUNGALOW,5,2,123,1,0,0,1,15,1,2140,4,0,0,0
3025,4.408236007087518,50.87001921742844,1140,0,0,Evere,270000,2700,1,APARTMENT,3,2,100,1,0,0,1,10,0,0,3,0,0,1
3027,4.46823712928013,51.215898155997046,2100,2,8,Antwerpen,310000,3131,1,APARTMENT,5,3,99,1,0,0,1,3,0,0,2,0,0,0
3028,3.276541129725285,50.81548648715903,8500,2,10,Kortrijk,493000,4401,1,APARTMENT,6,3,112,0,0,0,1,13,0,0,2,0,0,1
3030,4.408236007087518,50.87001921742844,1140,0,0,Evere,385000,4010,1,DUPLEX,5,2,96,1,0,0,1,12,0,0,2,0,0,0
3031,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,550000,2696,0,HOUSE,6,3,144,0,0,0,1,14,1,60,3,0,0,0
3035,5.508048762890354,50.58496196593964,4100,1,7,Seraing,149900,780,0,HOUSE,6,3,92,0,0,0,1,10,1,100,3,0,1,0
3036,4.101311151466272,50.95430084590078,9310,2,9,Aalst,489000,788,0,HOUSE,5,5,178,0,0,0,1,14,1,442,3,0,0,0
3037,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,215000,3257,1,APARTMENT,0,2,66,0,0,0,1,4,0,0,2,0,0,0
3038,5.535060559845203,50.629837917805894,4420,1,7,Saint-Nicolas,235000,559,0,HOUSE,4,4,170,0,0,0,1,10,1,250,2,0,0,0
3040,5.577531125648646,50.59185028437595,4000,1,7,Liège,370000,4065,1,APARTMENT,5,2,91,0,0,0,1,8,0,0,2,0,1,1
3041,5.528168774947655,50.65833644138832,4430,1,7,Ans,535000,1371,0,APARTMENT_BLOCK,5,5,390,0,0,0,1,52,0,0,2,0,0,0
3043,4.361370487792108,50.78987082854528,1180,0,0,Uccle,595000,2960,0,HOUSE,6,4,171,0,0,0,1,15,1,30,2,0,0,0
3044,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,515000,4401,1,APARTMENT,6,2,117,1,0,0,1,8,0,0,2,0,1,1
3047,3.7710482317047225,51.03750198876654,9050,2,9,Gent,216750,4423,1,APARTMENT,6,2,49,1,0,0,1,1,0,0,2,0,0,0
3048,4.30932217692078,50.90957954247929,1780,2,6,Wemmel,335000,3489,1,DUPLEX,6,1,96,0,0,0,1,15,0,0,2,0,0,1
3050,5.638561209383813,50.639959100598105,4020,1,7,Liège,150000,1500,0,HOUSE,3,2,100,0,0,0,1,20,0,0,2,0,0,0
3051,4.375234148039785,50.87298266192055,1040,0,0,Bruxelles,1150000,5808,1,PENTHOUSE,2,3,198,0,0,0,1,42,0,0,2,0,0,1
3052,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,265000,3117,1,GROUND_FLOOR,5,3,85,1,0,0,1,4,0,0,2,0,1,1
3054,4.428578360497885,50.93012891009888,1800,2,6,Vilvoorde,385000,1925,0,HOUSE,6,4,190,1,0,0,1,8,1,10,2,0,0,0
3055,5.508048762890354,50.58496196593964,4100,1,7,Seraing,199000,1309,0,APARTMENT_BLOCK,0,4,152,0,0,0,1,18,0,0,2,0,0,0
3056,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,625000,3571,1,APARTMENT,5,0,175,1,0,1,1,6,0,0,2,0,0,1
3057,4.361370487792108,50.78987082854528,1180,0,0,Uccle,790000,3590,1,PENTHOUSE,5,3,220,1,0,0,1,28,0,0,3,0,1,1
3058,2.920364240174513,51.204054302137884,8400,2,10,Oostende,169000,2194,1,APARTMENT,6,2,77,0,0,0,1,4,0,0,2,0,0,1
3062,5.865875472582388,50.59152456135572,4800,1,7,Verviers,199000,1228,1,APARTMENT,5,2,162,0,0,0,1,30,0,0,2,0,1,1
3063,4.440022349479033,50.38225363133343,6001,1,5,Charleroi,122500,1458,0,HOUSE,3,2,84,0,0,0,1,24,0,0,3,0,0,0
3064,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,299900,1530,0,MIXED_USE_BUILDING,6,2,196,0,0,0,1,40,0,0,2,0,0,0
3067,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,199000,3158,1,APARTMENT,6,1,63,1,0,0,1,4,0,0,2,0,0,1
3068,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,795000,3935,1,PENTHOUSE,5,2,202,1,1,0,1,60,0,0,2,0,1,1
3069,4.30932217692078,50.90957954247929,1780,2,6,Wemmel,395000,1975,1,APARTMENT,6,4,200,0,0,0,1,31,0,0,2,0,0,0
3070,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,219000,2638,1,APARTMENT,3,2,83,0,0,0,1,17,0,0,2,0,1,1
3072,4.047007532896995,50.941780843882924,9300,2,9,Aalst,248000,3179,1,APARTMENT,5,1,78,1,0,0,1,5,0,0,2,0,0,1
3073,4.361370487792108,50.78987082854528,1180,0,0,Uccle,469000,3782,1,APARTMENT,5,3,124,1,0,0,1,19,0,0,3,0,1,1
3074,5.577531125648646,50.59185028437595,4000,1,7,Liège,460000,575,0,VILLA,6,3,200,1,0,0,1,36,1,600,4,0,1,0
3076,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,189000,2700,1,APARTMENT,2,2,70,0,0,0,1,3,0,0,2,0,0,0
3078,3.772807392554319,51.103064477304066,9041,2,9,Gent,317000,3445,1,APARTMENT,5,3,92,1,0,0,1,15,0,0,2,0,0,1
3080,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,599000,5872,1,APARTMENT,5,2,102,0,0,0,1,6,0,0,2,0,1,0
3081,5.42914187160935,50.64214218719312,4460,1,7,Grâce-Hollogne,179000,1234,0,HOUSE,2,3,105,0,0,0,1,17,1,40,3,0,0,0
3082,4.408236007087518,50.87001921742844,1140,0,0,Evere,295000,3041,1,APARTMENT,6,3,97,0,0,0,1,15,0,0,2,0,0,1
3083,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,299000,4462,1,APARTMENT,5,1,67,0,0,0,1,4,0,0,2,0,0,0
