,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
8574,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,835000,1988,0,EXCEPTIONAL_PROPERTY,6,7,420,0,0,0,1,15,0,0,2,0,0,0
8576,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,420000,3818,1,APARTMENT,6,3,110,0,0,0,1,9,0,0,2,0,1,1
8577,5.638561209383813,50.639959100598105,4020,1,7,Liège,129000,941,0,HOUSE,4,2,137,0,0,0,1,30,0,0,3,0,0,0
8578,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,465000,4744,1,APARTMENT,5,2,98,1,1,0,1,6,0,0,2,0,1,1
8579,4.309447398997361,50.87440457885052,1083,0,0,Ganshoren,399000,2625,1,APARTMENT,5,3,104,1,0,0,1,13,1,48,3,0,1,1
8580,4.324177215886155,50.814084975691195,1190,0,0,Forest,599000,3608,1,DUPLEX,5,2,166,0,0,1,1,36,0,0,2,0,0,0
8581,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,260000,4193,1,APARTMENT,6,1,62,0,0,0,1,6,0,0,2,0,1,1
8583,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,497000,4559,1,APARTMENT,5,3,109,1,0,0,1,8,0,0,2,0,1,1
8585,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,650000,2685,0,HOUSE,6,3,142,1,0,0,1,12,1,100,2,0,0,0
8586,3.720262345300755,51.053260703972086,9000,2,9,Gent,435000,4438,1,APARTMENT,6,1,67,0,0,0,1,15,1,31,2,0,0,1
8587,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,648000,3240,1,APARTMENT,6,2,200,0,0,0,1,12,0,0,2,0,0,1
8588,4.2578958901376485,50.84856042288083,1700,2,6,Dilbeek,350000,1104,0,HOUSE,6,4,187,0,0,0,1,60,1,130,4,0,0,0
8589,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,175000,2333,1,APARTMENT,6,2,75,0,1,0,1,4,0,0,2,0,0,0
8590,4.361370487792108,50.78987082854528,1180,0,0,Uccle,770000,3500,1,APARTMENT,5,3,220,0,0,0,1,20,0,0,4,0,0,0
8592,4.309447398997361,50.87440457885052,1083,0,0,Ganshoren,159000,2890,1,APARTMENT,4,1,55,0,0,0,1,9,0,0,4,0,0,1
8593,4.361370487792108,50.78987082854528,1180,0,0,Uccle,375000,3750,1,APARTMENT,5,2,100,0,0,1,1,1,0,0,2,0,1,1
8594,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,765000,6830,1,APARTMENT,5,2,83,0,0,0,1,29,1,29,2,0,0,1
8595,4.361370487792108,50.78987082854528,1180,0,0,Uccle,445000,2119,1,APARTMENT,4,2,120,0,0,0,1,12,1,90,2,0,0,1
8597,3.1708734667446055,51.19372229465939,8200,2,10,Brugge,199000,2211,1,APARTMENT,2,2,90,1,0,0,1,3,0,0,2,0,0,0
8598,2.5945876048058936,51.0704142079429,8660,2,10,De Panne,229000,3469,1,APARTMENT,6,1,66,0,0,0,1,16,0,0,2,0,0,1
8599,5.624363334016105,50.67921179186858,4040,1,7,Herstal,189000,1211,1,APARTMENT,6,4,156,0,0,0,1,35,0,0,4,0,0,0
8600,5.611734922005852,50.71149221666199,4680,1,7,Oupeye,549000,362,0,HOUSE,5,4,243,1,0,0,1,55,1,1270,4,0,0,0
8601,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,180000,2647,1,APARTMENT,0,1,68,0,0,0,1,15,0,0,2,0,1,1
8603,4.349449465701912,51.17680075275425,2660,2,8,Antwerpen,499000,2028,0,HOUSE,6,4,201,0,0,0,1,45,1,45,3,0,0,0
